x,y,z
-173.167,1460.308,-1058.706
-205.068,1460.624,-1059.424
-204.616,1457.407,-1057.091
-204.391,1455.798,-1055.925
-235.743,1452.457,-1053.99
-235.223,1449.247,-1051.661
-266.14,1443.871,-1048.247
-266.14,1443.871,-1048.247
-266.435,1445.472,-1049.41
-297.896,1442.852,-1047.999
-297.566,1441.256,-1046.84
-297.566,1441.256,-1046.84
-328.242,1435.01,-1042.793
-327.879,1433.419,-1041.638
-328.242,1435.01,-1042.793
-359.547,1431.509,-1040.743
-359.547,1431.509,-1040.743
-359.149,1429.923,-1039.59
-389.946,1424.401,-1036.069
-391.242,1429.139,-1039.515
-391.674,1430.718,-1040.664
-422.488,1424.735,-1036.811
-422.488,1424.735,-1036.811
-422.023,1423.163,-1035.667
-452.174,1415.188,-1030.362
-452.673,1416.753,-1031.502
-452.673,1416.753,-1031.502
-482.653,1408.354,-1025.889
-483.721,1411.47,-1028.158
-485.323,1416.144,-1031.563
-516.958,1411.941,-1029.01
-517.526,1413.491,-1030.139
-516.958,1411.941,-1029.01
-549.171,1408.816,-1027.244
-550.373,1411.899,-1029.492
-579.515,1400.613,-1021.778
-578.88,1399.08,-1020.66
-578.88,1399.08,-1020.66
-610.348,1393.506,-1017.112
-611.015,1395.029,-1018.224
-614.35,1402.643,-1023.782
-704.047,1522.129,-1111.568
-709.646,1534.234,-1120.407
-748.551,1535.743,-1122.097
-716.323,1469.625,-1073.787
-746.447,1456.055,-1064.437
-747.977,1459.039,-1066.617
-742.743,1379.901,-1009.307
-732.383,1360.653,-995.23
-728.399,1353.251,-989.815
-756.717,1341.06,-981.434
-757.546,1342.529,-982.508
-756.717,1341.06,-981.434
-787.323,1332.856,-975.97
-792.486,1341.596,-982.37
-796.788,1348.879,-987.704
-829.408,1342.968,-983.93
-831.192,1345.856,-986.046
-977.605,1286.466,-945.346
-1051.476,1280.469,-942.143
-904.133,882.725,-652.245
-247.717,209.85,-155.561
-246.341,208.684,-154.698
-248.734,203.416,-150.924
-246.633,201.697,-149.649
-245.231,200.551,-148.799
-248.125,195.895,-145.476
-247.412,195.332,-145.058
-250.895,191.219,-142.137
-250.17,190.666,-141.726
-248.719,189.561,-140.905
-252.067,185.442,-137.978
-252.067,185.442,-137.978
-252.067,185.442,-137.978
-255.312,181.288,-135.023
-255.312,181.288,-135.023
-255.312,181.288,-135.023
-257.697,176.579,-131.654
-257.697,176.579,-131.654
-259.218,177.621,-132.431
-263.045,173.899,-129.798
-263.045,173.899,-129.798
-263.816,174.409,-130.179
-268.356,171.123,-127.873
-268.356,171.123,-127.873
-269.138,171.622,-128.246
-273.628,168.25,-125.875
-274.422,168.737,-126.241
-275.215,169.225,-126.605
-279.664,165.756,-124.165
-801.124,376.812,-284.803
-797.679,375.191,-283.578
-792.509,372.76,-281.741
-798.801,360.65,-273.079
-613.677,254.58,-193.53
-617.224,256.052,-194.648
-620.772,257.523,-195.767
-628.109,249.374,-189.987
-626.32,248.663,-189.446
-626.32,248.663,-189.446
-631.678,239.728,-183.066
-628.069,238.358,-182.02
-626.264,237.673,-181.497
-629.566,228.082,-174.612
-629.566,228.082,-174.612
-627.746,227.423,-174.107
-630.813,217.84,-167.224
-630.813,217.84,-167.224
-633.66,208.243,-160.328
-425.717,-105.194,69.534
-421.882,-104.246,68.907
-416.778,-109.43,72.735
-413.917,-108.679,72.234
-412.009,-108.178,71.902
-408.734,-113.708,75.952
-407.785,-113.444,75.775
-408.734,-113.708,75.952
-406.287,-119.454,80.145
-407.229,-119.731,80.33
-407.229,-119.731,80.33
-405.589,-125.744,84.705
-405.589,-125.744,84.705
-406.526,-126.035,84.9
-403.814,-131.746,89.072
-403.814,-131.746,89.072
-404.744,-132.049,89.277
-401.902,-137.733,93.43
-402.826,-138.05,93.645
-399.855,-143.705,97.78
-400.771,-144.035,98.005
-400.771,-144.035,98.005
-398.582,-150.001,102.354
-398.582,-150.001,102.354
-399.492,-150.343,102.588
-397.158,-156.303,106.933
-397.158,-156.303,106.933
-398.061,-156.658,107.175
-395.584,-162.608,111.517
-396.479,-162.976,111.769
-396.479,-162.976,111.769
-393.859,-168.913,116.103
-394.746,-169.294,116.364
-395.633,-169.674,116.626
-391.98,-175.218,120.691
-392.859,-175.611,120.962
-393.738,-176.003,121.232
-390.819,-181.923,125.557
-390.819,-181.923,125.557
-391.69,-182.328,125.837
-389.489,-188.647,130.44
-389.489,-188.647,130.44
-390.351,-189.064,130.729
-387.134,-194.956,135.039
-387.986,-195.386,135.337
-388.839,-195.815,135.634
-386.31,-202.137,140.245
-387.154,-202.578,140.552
-387.997,-203.02,140.858
-384.461,-208.898,145.162
-385.295,-209.351,145.478
-386.129,-209.804,145.793
-382.437,-215.666,150.088
-383.261,-216.131,150.412
-384.909,-217.06,151.058
-381.051,-222.914,155.351
-381.865,-223.39,155.683
-377.86,-229.21,159.953
-378.663,-229.697,160.293
-380.272,-230.673,160.974
-381.075,-231.16,161.314
-377.686,-237.477,165.934
-378.479,-237.975,166.283
-374.922,-244.275,170.893
-375.704,-244.785,171.25
-390.576,-254.474,178.028
-388.184,-262.004,183.51
-388.184,-262.004,183.51
-379.502,-265.287,186.017
-374.939,-262.097,183.78
-374.178,-261.565,183.408
-370.045,-267.861,188.024
-371.543,-268.946,188.786
-373.041,-270.03,189.547
-368.703,-276.328,194.168
-370.178,-277.434,194.945
-372.39,-279.091,196.11
-367.831,-285.398,200.74
-369.283,-286.524,201.532
-370.734,-287.65,202.324
-365.968,-293.951,206.954
-366.681,-294.524,207.358
-369.534,-296.816,208.971
-364.546,-303.116,213.604
-365.948,-304.282,214.426
-605.88,-521.533,367.849
-597.353,-532.35,375.803
-600.057,-534.759,377.504
-602.76,-537.168,379.203
-593.845,-547.974,387.155
-596.496,-550.42,388.884
-599.147,-552.866,390.611
-589.842,-563.653,398.555
-592.44,-566.136,400.31
-596.338,-569.86,402.945
-586.613,-580.638,410.888
-589.158,-583.157,412.67
-591.703,-585.676,414.453
-581.584,-596.418,422.377
-585.32,-600.25,425.09
-587.81,-602.804,426.899
-578.484,-614.814,435.728
-582.138,-618.698,438.48
-584.573,-621.286,440.315
-574.767,-633.296,449.151
-577.147,-635.918,451.01
-565.777,-646.54,458.866
-566.94,-647.868,459.808
-554.123,-657.03,466.631
-558.655,-662.404,470.447
-563.188,-667.779,474.264
-555.435,-683.693,485.893
-548.239,-700.959,498.489
-1427.57,-1825.242,1298.027
-1400.812,-1861.539,1324.687
-1409.176,-1872.653,1332.596
-1415.447,-1880.988,1338.527
-1381.038,-1908.848,1359.203
-1391.193,-1922.884,1369.197
-1407.44,-1945.341,1385.187
-1377.375,-1981.656,1411.911
-1385.257,-1992.996,1419.991
-1393.139,-2004.336,1428.071
-1355.708,-2032.007,1448.657
-1367.165,-2049.179,1460.898
-1378.622,-2066.35,1473.14
-1348.909,-2108.315,1503.944
-1314.225,-2144.223,1530.444
-2607.021,-4253.485,3035.936
-2508.539,-4277.292,3054.664
-2498.202,-4259.666,3042.077
-2484.418,-4236.165,3025.293
-2386.561,-4258.149,3042.695
-2379.922,-4246.305,3034.231
-2369.965,-4228.538,3021.536
-2269.335,-4242.849,3033.431
-2266.143,-4236.881,3029.164
-2259.759,-4224.946,3020.631
-2159.591,-4237.569,3031.299
-2153.464,-4225.548,3022.699
-2056.605,-4242.595,3036.515
-1861.517,-4044.974,2896.598
-1757.788,-3819.576,2735.191
-1272.02,-2917.688,2090.438
-1269.347,-2911.559,2086.045
-518.224,-1334.447,957.068
-516.419,-1329.797,953.733
-514.011,-1323.598,949.287
-482.665,-1322.669,949.097
-482.097,-1321.111,947.979
-450.438,-1318.128,946.308
-446.158,-1305.605,937.317
-408.519,-1281.633,920.559
-404.509,-1269.052,911.523
-404.008,-1267.48,910.394
-375.778,-1269.644,912.392
-374.843,-1266.485,910.122
-373.909,-1263.327,907.853
-344.97,-1261.884,907.254
-343.236,-1255.543,902.695
-342.803,-1253.957,901.554
-315.8,-1258.418,905.196
-314.602,-1253.645,901.763
-287.97,-1259.303,906.263
-288.699,-1262.495,908.56
-287.239,-1256.111,903.966
-259.859,-1258.184,905.886
-259.197,-1254.983,903.581
-258.206,-1250.181,900.124
-230.394,-1248.631,899.43
-229.802,-1245.421,897.117
-229.21,-1242.212,894.805
-202.197,-1243.461,896.124
-201.935,-1241.852,894.964
-201.412,-1238.635,892.646
-174.284,-1237.877,892.515
-173.83,-1234.653,890.19
-173.603,-1233.041,889.029
-146.665,-1231.886,888.606
-146.28,-1228.657,886.277
-146.088,-1227.043,885.113
-119.663,-1228.729,886.739
-119.663,-1228.729,886.739
-119.19,-1223.879,883.238
-92.22,-1217.094,878.745
-91.73,-1210.62,874.071
-91.484,-1207.383,871.735
-65.306,-1205.064,870.46
-65.22,-1203.444,869.29
-39.302,-1203.995,870.085
-39.249,-1202.374,868.915
-39.144,-1199.133,866.572
-13.301,-1197.695,865.929
-13.283,-1196.074,864.757
-13.283,-1196.074,864.757
12.442,-1192.651,862.677
12.543,-1202.374,869.71
12.594,-1207.235,873.226
38.386,-1200.205,868.538
38.282,-1196.966,866.194
38.127,-1192.106,862.677
63.714,-1189.58,861.243
63.627,-1187.961,860.072
63.541,-1186.343,858.9
89.09,-1185.077,858.377
88.968,-1183.46,857.206
88.725,-1180.227,854.863
114.143,-1178.607,854.083
113.987,-1176.992,852.912
113.831,-1175.378,851.743
139.144,-1173.404,850.704
139.335,-1175.016,851.872
138.953,-1171.792,849.535
163.964,-1167.856,847.073
163.964,-1167.856,847.073
163.739,-1166.247,845.907
189.116,-1165.175,845.521
189.377,-1166.78,846.685
213.915,-1160.539,842.55
213.325,-1157.338,840.225
212.44,-1152.535,836.738
236.932,-1147.578,833.53
236.932,-1147.578,833.53
236.932,-1147.578,833.53
261.648,-1143.872,831.23
261.648,-1143.872,831.23
260.92,-1140.69,828.917
285.09,-1135.061,825.218
285.487,-1136.646,826.37
285.885,-1138.232,827.522
310.4,-1133.836,824.72
310.4,-1133.836,824.72
375.856,-1267.48,922.372
376.323,-1269.052,923.517
376.789,-1270.625,924.661
404.156,-1264.902,920.944
405.156,-1268.033,923.223
406.156,-1271.164,925.502
433.534,-1265.026,921.484
434.067,-1266.584,922.619
434.602,-1268.142,923.754
460.78,-1258.503,917.185
461.914,-1261.603,919.445
462.482,-1263.152,920.574
489.688,-1256.22,915.979
490.289,-1257.762,917.102
490.89,-1259.303,918.227
519.281,-1255.035,915.576
519.281,-1255.035,915.576
519.914,-1256.567,916.694
548.312,-1251.871,913.734
548.312,-1251.871,913.734
549.646,-1254.917,915.957
577.375,-1248.267,911.574
578.075,-1249.78,912.679
578.775,-1251.293,913.784
605.725,-1242.72,907.998
605.725,-1242.72,907.998
607.191,-1245.725,910.194
634.786,-1238.243,905.207
634.021,-1236.752,904.116
662.253,-1230.362,899.929
663.05,-1231.843,901.013
664.644,-1234.804,903.178
693.726,-1229.428,899.738
695.384,-1232.365,901.887
695.384,-1232.365,901.887
721.928,-1222.149,894.906
723.648,-1225.062,897.04
726.23,-1229.432,900.24
753.603,-1220.224,894.0
755.386,-1223.112,896.117
757.17,-1226.0,898.233
784.5,-1216.342,891.669
784.5,-1216.342,891.669
787.268,-1220.635,894.816
815.467,-1211.957,888.973
816.421,-1213.375,890.013
818.329,-1216.21,892.092
847.478,-1208.469,886.942
848.462,-1209.873,887.973
849.447,-1211.276,889.003
878.581,-1203.055,883.505
879.595,-1204.444,884.524
881.624,-1207.222,886.565
907.627,-1194.379,877.676
910.76,-1198.502,880.707
915.982,-1205.374,885.756
945.169,-1196.123,879.515
947.316,-1198.842,881.513
949.465,-1201.56,883.512
978.656,-1191.79,876.895
979.76,-1193.133,877.884
1005.46,-1178.906,867.991
1006.592,-1180.234,868.968
998.666,-1170.941,862.125
1001.831,-1131.541,833.681
984.419,-1111.873,819.191
972.81,-1098.762,809.53
985.775,-1073.013,791.109
976.262,-1062.658,783.475
965.561,-1051.009,774.886
979.681,-1028.087,758.527
968.728,-1016.593,750.046
958.991,-1006.376,742.508
971.958,-983.684,726.297
962.002,-973.608,718.857
972.802,-949.767,701.782
963.9,-941.077,695.361
954.999,-932.386,688.939
965.995,-910.028,672.939
958.204,-902.689,667.513
947.817,-892.904,660.277
959.103,-871.995,645.329
952.48,-865.973,640.873
943.206,-857.542,634.634
952.225,-835.638,618.933
945.471,-829.712,614.542
946.822,-830.897,615.421
968.849,-820.746,608.418
972.978,-824.243,611.01
978.482,-828.907,614.467
1000.542,-818.248,607.098
1004.746,-821.686,609.649
1010.352,-826.27,613.051
1032.429,-815.102,605.313
1038.134,-819.605,608.657
1045.263,-825.234,612.838
1067.392,-813.51,604.699
1073.192,-817.931,607.985
1077.544,-821.247,610.45
1099.657,-809.006,601.937
1108.502,-815.512,606.778
1114.398,-819.85,610.006
1136.552,-807.024,601.07
1142.542,-811.277,604.239
1167.62,-800.075,596.522
1175.222,-805.284,600.406
1181.303,-809.451,603.513
1187.384,-813.618,606.62
1212.626,-801.671,598.368
1221.883,-807.791,602.936
1245.545,-794.249,593.506
1253.368,-799.238,597.235
1261.192,-804.227,600.963
1284.864,-790.041,591.067
1292.795,-794.918,594.716
1303.899,-801.746,599.824
1329.207,-787.818,590.141
1334.029,-790.676,592.281
1342.065,-795.439,595.849
1372.224,-783.647,587.785
1383.619,-790.155,592.666
1388.502,-792.943,594.758
1415.474,-778.497,584.725
1427.008,-784.84,589.49
1438.543,-791.184,594.255
1463.926,-775.006,582.945
1475.597,-781.185,587.593
1487.268,-787.364,592.24
1514.35,-771.237,580.993
1524.468,-776.39,584.875
1532.899,-780.684,588.11
1686.109,-825.539,622.901
1698.043,-831.382,627.31
1705.619,-802.245,606.356
1698.727,-799.004,603.906
1690.113,-794.952,600.843
1696.799,-766.086,580.071
1689.838,-762.943,577.691
1682.878,-759.8,575.312
1686.947,-730.436,554.139
1674.647,-725.11,550.099
1665.861,-721.306,547.212
1672.534,-693.842,527.453
1665.44,-690.898,525.216
1658.346,-687.955,522.979
1667.801,-662.155,504.466
1660.643,-659.313,502.301
1664.022,-631.511,482.247
1656.802,-628.771,480.155
1651.388,-626.717,478.586
1661.254,-601.847,460.752
1653.976,-599.21,458.734
1644.877,-595.914,456.21
1646.717,-568.665,436.533
1637.548,-565.498,434.102
1635.714,-564.865,433.617
1640.498,-539.126,415.076
1636.803,-537.912,414.141
1631.26,-536.09,412.739
1637.232,-511.109,394.766
1633.511,-509.948,393.868
1624.208,-507.044,391.625
1629.517,-482.251,373.778
1625.77,-481.142,372.918
1623.898,-480.588,372.488
1632.37,-456.943,355.519
1628.601,-455.887,354.698
1621.061,-453.777,353.056
1627.048,-429.706,335.741
1630.841,-430.708,336.524
