,angle,distance,servo
0,1.2640001692177683,1671.25,90.0
1,1.2871803233458181,1647.25,90.0
2,1.3100877697782436,1635.0,90.0
3,1.3346314623844138,1628.25,90.0
4,1.3578116165124636,1616.75,90.0
5,1.3812644783361374,1605.75,90.0
6,1.4047173401598112,1597.25,90.0
7,1.4278974942878608,1590.75,90.0
8,1.4494414022421658,1584.25,90.0
9,1.4734396794570879,1579.5,90.0
10,1.4966198335851375,1576.75,90.0
11,1.5200726954088113,1568.75,90.0
12,1.5432528495368611,1565.5,90.0
13,1.566978419056159,1563.75,90.0
14,1.5893404500973363,1562.5,90.0
15,1.61279331192101,1564.5,90.0
16,1.63597346604906,1566.25,90.0
17,1.6591536201771095,1568.0,90.0
18,1.6826064820007833,1572.0,90.0
19,1.7049685130419607,1576.25,90.0
20,1.7286940825612587,1577.0,90.0
21,1.75132882129806,1580.25,90.0
22,1.775327098512982,1586.5,90.0
23,1.7985072526410317,1592.5,90.0
24,1.8219601144647055,1603.5,90.0
25,1.8448675608971312,1616.25,90.0
26,1.8677750073295567,1626.0,90.0
27,1.8906824537619824,1634.25,90.0
28,1.9141353155856562,1642.0,90.0
29,1.9364973466268334,1659.0,90.0
30,1.959404793059259,1674.25,90.0
31,1.9825849471873087,1686.75,90.0
32,2.0065832244022306,1703.0,90.0
33,2.0294906708346563,1719.0,90.0
34,2.0515799941802095,1737.25,90.0
35,2.0755782713951314,1757.0,90.0
36,2.098485717827557,1784.0,90.0
37,2.121665871955607,1806.75,90.0
38,2.1445733183880322,1827.5,90.0
39,2.2596559659414086,1981.25,90.0
40,2.3051981511106354,1947.75,90.0
41,2.327832889847437,1993.25,90.0
42,2.351558459366735,2025.0,90.0
43,2.3741931981035362,2038.75,90.0
44,2.3976460599272102,2022.75,90.0
45,2.421098921750884,1995.75,90.0
46,2.4442790758789337,1982.75,90.0
47,2.4674592300069835,1980.5,90.0
48,2.490639384135033,2004.25,90.0
49,2.513819538263083,2045.75,90.0
50,2.5588163080410617,2170.25,90.0
51,2.581451046777863,2231.25,90.0
52,2.62699323194709,2508.5,90.0
53,2.7254407100673954,1653.25,90.0
54,2.7979809571034098,1454.75,90.0
55,2.8203429881445867,1450.0,90.0
56,2.8435231422726366,1462.25,90.0
57,2.9141544354392823,1382.75,90.0
58,2.9373345895673317,1389.25,90.0
59,2.9845130209103035,1322.0,90.0
60,3.0543261909900767,1316.5,90.0
61,3.0785971759006228,1321.5,90.0
62,3.100686499246176,1310.25,90.0
63,3.1260483149392186,1308.75,90.0
64,3.149773884458517,1309.5,90.0
65,3.172681330890942,1307.25,90.0
66,3.1964069004102402,1305.25,90.0
67,3.2190416391470418,1307.5,90.0
68,3.2427672086663395,1308.0,90.0
69,3.2648565320118927,1313.5,90.0
70,3.2883093938355663,1318.25,90.0
71,3.310944132572368,1320.5,90.0
72,3.335760532874162,1328.25,90.0
73,3.3583952716109637,1320.5,90.0
74,3.382393548825886,1312.25,90.0
75,3.404210164475815,1331.75,90.0
76,3.4271176109082404,1353.25,90.0
77,3.4511158881231627,1364.25,90.0
78,3.47347791916434,1370.75,90.0
79,3.5209290582029356,1400.75,90.0
80,3.5580173048078154,3187.0,90.0
81,3.5809247512402407,3215.5,90.0
82,3.6043776130639147,3266.5,90.0
83,3.6272850594963404,3313.0,90.0
84,3.770456599699,2386.5,90.0
85,3.8596320161680855,857.5,90.0
86,3.881994047209263,864.75,90.0
87,4.120613280880362,720.5,90.0
88,4.263239405691774,422.75,90.0
89,4.287237682906696,412.0,90.0
90,4.313144913990987,404.0,90.0
91,4.338234021988406,396.5,90.0
92,4.359232514551462,389.5,90.0
93,4.385139745635753,383.0,90.0
94,4.413501345980661,376.75,90.0
95,4.440499407847448,370.5,90.0
96,4.45849811575864,364.75,90.0
97,4.4824963929735615,359.25,90.0
98,4.511403408709718,353.75,90.0
99,4.537037932098385,348.5,90.0
100,4.56458140935642,343.5,90.0
101,4.586670732701974,339.25,90.0
102,4.610123594525647,335.25,90.0
103,4.628667717828087,331.5,90.0
104,4.657574733564243,327.5,90.0
105,4.681573010779165,324.0,90.0
106,4.7069348264722075,320.0,90.0
107,4.733660180643371,314.75,90.0
108,4.760930950205782,310.0,90.0
109,4.7865654735944485,306.25,90.0
110,4.802109812245023,301.25,90.0
111,4.831562243372428,294.75,90.0
112,4.848470120501123,287.5,90.0
113,4.886649197888499,280.5,90.0
114,4.900284582669705,273.75,90.0
115,4.941463444708946,268.0,90.0
116,4.949371967882045,264.0,90.0
117,4.978278983618201,260.25,90.0
118,5.0006410146593785,258.25,90.0
119,5.040729045916123,258.25,90.0
120,5.060636707696683,259.0,90.0
121,5.069636061652279,259.75,90.0
122,5.1089059698221515,260.75,90.0
123,5.116269077604002,260.0,90.0
124,5.154720862687003,257.75,90.0
125,5.157720647338868,257.0,90.0
126,5.181173509162542,255.75,90.0
127,5.223170494288655,254.5,90.0
