num,angle,distance,servo
33.0
1,4.115704542359128,2180.0,33.0
2,4.168337127614582,1888.25,33.0
3,4.2174245128269225,2023.75,33.0
4,4.243059036215589,1998.75,33.0
5,4.268693559604256,1968.0,33.0
6,4.294055375297299,1937.25,33.0
7,4.31996260638159,1908.75,33.0
8,4.3447790066833845,1885.5,33.0
9,4.370686237767675,1868.25,33.0
10,4.394684514982597,1842.75,33.0
11,4.420591746066888,1822.75,33.0
12,4.446226269455554,1802.0,33.0
13,4.471588085148597,1778.25,33.0
14,4.496404485450391,1768.5,33.0
15,4.522039008839058,1758.0,33.0
16,4.547673532227725,1743.5,33.0
17,4.572762640225143,1729.75,33.0
18,4.598124455918186,1721.0,33.0
19,4.623213563915605,1715.0,33.0
20,4.648029964217399,1708.0,33.0
21,4.674209902997314,1697.0,33.0
22,4.699299010994732,1688.5,33.0
23,4.724115411296527,1685.5,33.0
24,4.749204519293945,1681.25,33.0
25,4.775111750378236,1682.5,33.0
26,4.797746489115037,1682.0,33.0
27,4.82310830480808,1680.75,33.0
28,4.848470120501123,1685.0,33.0
29,4.873559228498541,1686.25,33.0
30,4.897830213409088,1691.0,33.0
31,4.923737444493378,1694.0,33.0
32,4.948553844795173,1700.25,33.0
33,4.973370245096967,1708.75,33.0
34,4.998459353094385,1715.75,33.0
35,5.023548461091804,1726.75,33.0
36,5.048637569089222,1735.5,33.0
37,5.072908553999769,1747.25,33.0
38,5.098270369692811,1762.75,33.0
39,5.123359477690229,1776.75,33.0
40,5.261894987067279,1010.5,33.0
0,4.038528264497504,2575.25,42.0
1,4.063344664799298,2508.25,42.0
2,4.0892518958835895,2445.0,42.0
3,4.114341003881008,2393.25,42.0
4,4.139975527269675,2341.75,42.0
5,4.165610050658342,2291.25,42.0
6,4.190426450960135,2248.0,42.0
7,4.2157882666531785,2204.0,42.0
8,4.241150082346221,2165.25,42.0
9,4.2667846057348875,2127.5,42.0
10,4.291601006036682,2095.75,42.0
11,4.317508237120973,2063.0,42.0
12,4.342597345118391,2036.0,42.0
13,4.368231868507058,2018.25,42.0
14,4.3925028534176045,1994.0,42.0
15,4.41813737680627,1968.5,42.0
16,4.443771900194937,1942.75,42.0
17,4.468315592801107,1920.75,42.0
18,4.493950116189774,1908.75,42.0
19,4.518493808795944,1896.0,42.0
20,4.543855624488987,1876.0,42.0
21,4.56921744018203,1861.75,42.0
22,4.595124671266321,1855.25,42.0
23,4.620213779263739,1845.0,42.0
24,4.645030179565533,1830.0,42.0
25,4.669846579867328,1821.25,42.0
26,4.695753810951619,1814.25,42.0
27,4.721115626644662,1807.75,42.0
28,4.745659319250832,1804.5,42.0
29,4.771293842639499,1798.5,42.0
30,4.796382950636917,1797.25,42.0
31,4.818744981678094,1796.0,42.0
32,4.843561381979889,1795.25,42.0
33,4.868377782281683,1802.0,42.0
34,4.8931941825834775,1807.0,42.0
35,4.919101413667768,1807.75,42.0
36,4.9441905216651865,1812.5,42.0
37,4.968461506575733,1817.5,42.0
38,4.9940960299644,1823.25,42.0
39,5.07236313860852,1414.0,42.0
40,5.124177600777102,1353.0,42.0
41,5.147357754905151,1374.0,42.0
42,5.20626261715996,987.75,42.0
43,5.286165971977826,886.0,42.0
44,5.309346126105876,878.25,42.0
0,3.8934477704254755,2270.25,51.0
1,3.918809586118518,2214.75,51.0
2,3.944171401811561,2156.75,51.0
3,3.968715094417731,2108.5,51.0
4,4.065526326364291,2789.0,51.0
5,4.090888142057334,2762.75,51.0
6,4.116249957750377,2733.75,51.0
7,4.141339065747795,2705.25,51.0
8,4.166428173745214,2669.25,51.0
9,4.190971866351384,2614.25,51.0
10,4.216333682044427,2562.75,51.0
11,4.241695497737469,2516.75,51.0
12,4.267330021126136,2470.75,51.0
13,4.292691836819178,2429.0,51.0
14,4.317508237120973,2383.75,51.0
15,4.342870052814015,2350.25,51.0
16,4.367959160811433,2324.0,51.0
17,4.392775561113228,2296.25,51.0
18,4.418682792197519,2262.5,51.0
19,4.442953777108065,2231.25,51.0
20,4.468315592801107,2209.0,51.0
21,4.493950116189774,2182.0,51.0
22,4.518766516491569,2163.5,51.0
23,4.543855624488987,2143.75,51.0
24,4.56921744018203,2129.0,51.0
25,4.5937611327882,2116.75,51.0
26,4.618850240785619,2100.25,51.0
27,4.644212056478661,2093.5,51.0
28,4.66930116447608,2082.0,51.0
29,4.694390272473498,2062.25,51.0
30,4.7197520881665405,2052.5,51.0
31,4.7442957807727115,2052.75,51.0
32,4.76938488877013,2047.75,51.0
33,4.794201289071924,2040.75,51.0
34,4.81847227398247,2039.75,51.0
35,4.843288674284264,2038.5,51.0
36,4.867559659194811,2037.0,51.0
37,4.892376059496605,2040.0,51.0
38,4.917465167494023,2042.5,51.0
39,4.9425542754914416,2042.5,51.0
40,5.021094091831187,1541.0,51.0
41,5.046183199828605,1512.0,51.0
42,5.072090430912896,1503.25,51.0
43,5.096361415823442,1513.75,51.0
44,5.120905108429612,1526.25,51.0
45,5.25862249471979,943.0,51.0
46,5.2848024334997055,933.25,51.0
47,5.307982587627754,943.5,51.0
48,5.3341625264076695,957.0,51.0
49,6.068291643027784,795.0,51.0
50,6.097198658763941,784.25,51.0
0,3.897265678164213,2020.25,60.0
1,4.023529341238178,1859.0,60.0
2,4.074525680319887,1711.5,60.0
3,4.1983349741332345,2019.25,60.0
4,4.2476950670411995,2129.75,60.0
5,4.273056882734243,2106.0,60.0
6,4.298145990731661,2081.5,60.0
7,4.3240532218159515,2055.25,60.0
8,4.34914232981337,2046.25,60.0
9,4.449226054107419,2047.75,60.0
10,4.474042454409214,2027.5,60.0
11,4.499949685493505,2002.0,60.0
12,4.524766085795299,1990.75,60.0
13,4.550127901488342,1985.0,60.0
14,4.57521700948576,1981.0,60.0
15,4.6003061174831785,1982.25,60.0
16,4.625395225480597,1982.5,60.0
17,4.65075704117364,1977.25,60.0
18,4.675846149171059,1976.25,60.0
19,4.700935257168477,1979.5,60.0
20,4.7260243651658955,1981.25,60.0
21,4.750840765467689,1984.5,60.0
22,4.775929873465109,2003.5,60.0
23,4.798837319897534,2027.0,60.0
24,4.824199135590576,2035.25,60.0
25,4.849288243587995,2050.0,60.0
26,4.8741046438897895,2064.75,60.0
27,4.898921044191583,2074.5,60.0
28,4.924282859884626,2090.25,60.0
29,4.949371967882045,2106.0,60.0
30,4.974188368183839,2127.75,60.0
31,5.031456984264903,1299.0,60.0
32,5.160993139686357,1085.5,60.0
33,5.186082247683776,1082.75,60.0
34,5.210625940289946,1092.0,60.0
35,5.235987755982989,1103.75,60.0
36,5.261076863980407,1115.5,60.0
37,5.285347848890953,1126.0,60.0
38,6.10374364345892,779.5,60.0
39,6.128832751456338,776.0,60.0
0,3.8999927551204543,471.75,69.0
1,3.928354355465362,464.0,69.0
2,3.9531707557671565,462.25,69.0
3,3.9793506945470716,464.25,69.0
4,4.004712510240114,467.25,69.0
5,4.026801833585667,475.25,69.0
6,4.165064635267093,585.0,69.0
7,4.1871539586126465,598.25,69.0
8,4.214152020479434,607.0,69.0
9,4.240059251563724,604.75,69.0
10,4.26296669799615,597.75,69.0
11,4.288873929080441,591.5,69.0
12,4.3145084524691075,586.75,69.0
13,4.33987026816215,585.0,69.0
14,4.389775776461363,567.25,69.0
15,4.417046546023775,578.0,69.0
16,4.440226700151824,578.75,69.0
17,4.464224977366746,580.5,69.0
18,4.490677623842285,586.75,69.0
19,4.516312147230952,585.5,69.0
20,4.562945163182675,596.0,69.0
21,4.710480026515321,1731.75,69.0
22,4.735296426817115,1734.75,69.0
23,4.760930950205782,1737.5,69.0
24,4.785474642811952,1742.75,69.0
25,4.808927504635626,1751.25,69.0
26,4.8334711972417965,1759.0,69.0
27,4.858560305239215,1768.75,69.0
28,4.882831290149761,1786.5,69.0
29,4.907647690451555,1801.0,69.0
30,4.9321913830577255,1813.75,69.0
31,5.006913291658733,1819.25,69.0
32,5.032002399656151,1838.0,69.0
33,5.056000676871073,1859.5,69.0
34,5.999842011426132,796.75,69.0
35,6.025476534814799,791.25,69.0
36,6.051656473594713,786.0,69.0
37,6.078927243157125,781.25,69.0
38,6.102652812676423,777.5,69.0
39,6.129105459151962,774.25,69.0
0,3.9583522019840145,424.0,78.0
1,3.9790779868514474,428.25,78.0
2,4.349687745204618,484.25,78.0
3,4.377776637853902,480.5,78.0
4,4.398775130416959,481.75,78.0
5,4.423864238414377,485.5,78.0
6,4.451135007976789,491.75,78.0
7,4.538674178272129,1684.5,78.0
8,4.589670517353839,1621.5,78.0
9,4.615305040742506,1596.75,78.0
10,4.639848733348676,1596.75,78.0
11,4.66466513365047,1597.5,78.0
12,4.689481533952264,1597.75,78.0
13,4.715116057340931,1597.75,78.0
14,4.739932457642725,1599.25,78.0
15,4.765566981031392,1603.25,78.0
16,4.789837965941938,1610.25,78.0
17,4.814108950852484,1615.0,78.0
18,4.838652643458655,1620.0,78.0
19,4.863469043760449,1629.75,78.0
20,4.888285444062244,1635.25,78.0
21,4.913374552059662,1644.5,78.0
22,4.937372829274584,1659.25,78.0
23,5.012912860962463,1662.5,78.0
24,5.038001968959882,1676.0,78.0
25,5.645594714810408,578.0,78.0
26,5.672320068981571,566.5,78.0
27,5.698227300065862,555.5,78.0
28,5.883123117699011,823.75,78.0
29,5.907666810305181,816.25,78.0
30,5.931665087520104,809.25,78.0
31,5.958935857082515,802.0,78.0
32,5.984024965079933,796.75,78.0
33,6.007750534599231,791.5,78.0
34,6.034475888770395,789.25,78.0
35,6.0966532433726925,558.75,78.0
0,3.859086600776837,471.5,87.0
1,3.883084877991759,471.0,87.0
2,3.9100829398585466,471.75,87.0
3,3.9354447555515892,475.0,87.0
4,3.956443248114646,480.5,87.0
5,3.9804415253295677,490.0,87.0
6,4.067980695624908,632.5,87.0
7,4.094978757491695,636.0,87.0
8,4.116522665446,641.25,87.0
9,4.142157188834667,656.75,87.0
10,4.166973589136462,670.0,87.0
11,4.192608112525129,681.0,87.0
12,4.238695713085604,735.75,87.0
13,4.2635121133873985,748.75,87.0
14,4.570308270964526,1496.5,87.0
15,4.594579255875073,1479.5,87.0
16,4.694117564777875,1546.25,87.0
17,4.7189339650796684,1549.0,87.0
18,4.744023073077087,1549.75,87.0
19,4.76938488877013,1554.0,87.0
20,4.7939285813763,1555.5,87.0
21,4.817381443199974,1557.5,87.0
22,4.842197843501768,1562.75,87.0
23,4.867286951499186,1571.0,87.0
