x,y,z
-179.101,1663.733,606.89
-179.705,1669.341,608.935
-180.51,1676.818,611.664
-211.848,1675.869,610.081
-211.612,1674.003,609.402
-211.848,1675.869,610.081
-243.191,1674.402,608.309
-243.191,1674.402,608.309
-274.223,1670.559,605.672
-274.223,1670.559,605.672
-274.223,1670.559,605.672
-305.512,1668.061,603.52
-306.191,1671.767,604.861
-306.53,1673.621,605.532
-336.776,1665.044,601.179
-336.028,1661.348,599.844
-336.028,1661.348,599.844
-367.19,1657.824,597.32
-367.19,1657.824,597.32
-368.005,1661.508,598.647
-399.193,1657.454,595.925
-398.75,1655.619,595.266
-440.491,1573.139,563.191
-439.981,1571.319,562.539
-439.981,1571.319,562.539
-467.934,1560.617,557.492
-467.934,1560.617,557.492
-469.564,1566.055,559.434
-501.38,1567.512,558.722
-503.111,1572.923,560.65
-503.111,1572.923,560.65
-512.14,1420.59,504.084
-528.881,1387.478,491.208
-523.471,1373.284,486.182
-515.355,1351.993,478.644
-528.943,1315.449,464.626
-504.991,1193.021,420.39
-493.126,1164.991,410.513
-508.401,1143.09,401.832
-492.925,1108.293,389.599
-513.335,1100.31,385.851
-502.859,1077.854,377.977
-494.801,1060.581,371.92
-487.519,997.706,349.004
-496.315,971.094,338.839
-487.624,954.087,332.905
-479.801,938.781,327.564
-459.246,860.161,299.361
-470.399,844.348,293.087
-482.065,830.084,287.366
-474.366,816.829,282.776
-466.668,803.574,278.188
-475.47,786.148,271.411
-468.521,774.659,267.445
-462.566,764.812,264.045
-471.49,749.171,257.923
-465.353,739.42,254.567
-472.602,722.206,247.93
-466.287,712.555,244.616
-461.024,704.513,241.856
-467.449,687.47,235.314
-462.039,679.513,232.591
-456.629,671.556,229.867
-464.49,657.835,224.495
-458.934,649.966,221.809
-466.278,636.278,216.47
-460.578,628.5,213.824
-456.017,622.277,211.707
-462.734,608.708,206.436
-458.06,602.56,204.35
-453.385,596.411,202.265
-459.51,582.959,197.061
-454.724,576.887,195.008
-451.133,572.332,193.469
-456.7,558.994,188.328
-453.027,554.498,186.813
-458.151,541.206,181.707
-453.144,535.291,179.721
-449.389,530.855,178.232
-455.246,519.161,173.687
-451.409,514.786,172.223
-447.573,510.411,170.759
-452.972,498.807,166.266
-449.055,494.495,164.828
-454.078,482.929,160.363
-450.083,478.681,158.952
-446.089,474.432,157.541
-452.02,464.373,153.596
-447.947,460.19,152.213
-443.875,456.006,150.829
-449.414,446.026,146.928
-445.265,441.909,145.572
-450.491,431.95,141.692
-446.268,427.9,140.364
-443.453,425.201,139.479
-449.752,416.643,136.073
-451.184,417.97,136.506
-454.049,420.624,137.373
-464.605,415.826,135.188
-467.517,418.433,136.035
-470.431,421.04,136.883
-479.554,414.646,134.165
-482.515,417.206,134.994
-485.475,419.765,135.821
-496.096,414.357,133.408
-499.102,416.868,134.217
-503.612,420.635,135.43
-514.288,414.88,132.887
-517.34,417.342,133.675
-520.392,419.804,134.464
-531.09,413.724,131.8
-535.736,417.343,132.953
-538.832,419.755,133.722
-549.566,413.323,130.926
-554.277,416.865,132.048
-557.417,419.227,132.796
-568.177,412.439,129.869
-572.951,415.905,130.96
-576.134,418.215,131.688
-586.909,411.068,128.627
-591.746,414.456,129.687
-604.119,408.103,126.856
-607.385,410.309,127.543
-612.283,413.618,128.571
-624.691,406.848,125.586
-629.649,410.077,126.582
-632.954,412.23,127.246
-647.059,406.09,124.427
-652.075,409.238,125.391
-657.091,412.386,126.355
-669.574,404.719,123.036
-674.646,407.785,123.968
-679.719,410.851,124.9
-693.928,403.725,121.712
-699.056,406.708,122.612
-705.893,410.685,123.81
-720.161,403.018,120.42
-725.342,405.918,121.287
-732.25,409.784,122.442
-746.56,401.572,118.85
-805.111,399.077,115.629
-813.997,403.482,116.905
-821.107,407.006,117.926
-835.525,396.992,113.664
-844.489,401.252,114.884
-853.454,405.511,116.104
-869.701,395.673,111.835
-880.549,400.609,113.23
-889.59,404.722,114.392
-905.881,394.143,109.849
-914.994,398.108,110.954
-927.753,403.66,112.501
-945.917,393.07,107.88
-955.1,396.886,108.927
-967.957,402.229,110.393
-988.009,391.533,105.659
-1000.96,396.666,107.044
-1017.612,403.265,108.825
-1041.481,392.949,104.081
-7541.204,370.836,-159.454
-7529.175,246.763,-204.765
-6787.34,111.217,-225.636
-6666.856,0.0,-261.941
-6514.973,0.0,-255.974
-168.41,-51.609,-25.661
-169.356,-51.898,-25.805
-169.266,-54.984,-26.94
-169.266,-54.984,-26.94
-1633.197,-560.935,-271.157
-1590.218,-546.173,-264.021
-1547.239,-531.412,-256.885
-1458.805,-528.568,-252.361
-180.591,-68.889,-32.516
-181.983,-72.954,-34.071
-1132.035,-498.825,-228.547
-1104.478,-509.192,-231.29
-1095.557,-505.079,-229.422
-1076.899,-518.816,-233.757
-1006.166,-484.739,-218.404
-988.005,-496.864,-222.164
-989.756,-497.745,-222.558
-979.245,-492.459,-220.195
-962.77,-504.91,-224.142
-967.975,-507.639,-225.353
-971.444,-509.458,-226.161
-961.594,-525.421,-231.665
-965.029,-527.297,-232.492
-951.452,-541.224,-237.098
-954.851,-543.157,-237.944
-961.646,-547.022,-239.638
-954.464,-564.817,-245.922
-959.505,-567.8,-247.221
-941.93,-579.484,-250.841
-928.641,-571.308,-247.302
-914.375,-584.475,-251.6
-906.166,-579.229,-249.342
-877.211,-582.288,-249.333
-864.238,-573.678,-245.646
-867.482,-575.83,-246.568
-854.838,-588.992,-250.928
-842.031,-580.168,-247.169
-830.826,-572.447,-243.879
-810.382,-579.335,-245.618
-802.484,-573.688,-243.224
-794.585,-568.042,-240.83
-777.483,-576.49,-243.275
-769.693,-570.714,-240.838
-752.639,-578.652,-243.097
-744.96,-572.747,-240.616
-738.815,-568.023,-238.632
-721.914,-575.354,-240.673
-715.86,-570.529,-238.655
-708.294,-564.498,-236.133
-691.561,-571.229,-237.958
-687.09,-567.536,-236.419
-681.129,-562.611,-234.369
-666.004,-570.054,-236.521
-661.603,-566.287,-234.958
-645.045,-572.058,-236.437
-640.716,-568.219,-234.849
-634.943,-563.1,-232.734
-619.972,-569.642,-234.56
-614.297,-564.428,-232.413
-611.46,-561.821,-231.339
-596.595,-567.908,-233.002
-591.021,-562.601,-230.824
-576.225,-568.284,-232.34
-572.118,-564.235,-230.684
-569.382,-561.535,-229.581
-554.692,-566.796,-230.945
-552.006,-564.051,-229.827
-547.976,-559.934,-228.149
-533.402,-564.778,-229.364
-529.451,-560.595,-227.665
-526.817,-557.806,-226.532
-513.661,-563.654,-228.173
-509.79,-559.405,-226.453
-496.664,-564.932,-227.977
-492.872,-560.619,-226.236
-490.345,-557.744,-225.076
-477.312,-562.91,-226.471
-474.839,-559.994,-225.298
-472.366,-557.077,-224.124
-459.408,-561.908,-225.397
-455.781,-557.472,-223.618
-453.363,-554.514,-222.431
-441.697,-560.492,-224.179
-438.154,-555.996,-222.381
-424.189,-558.669,-222.818
-423.036,-557.151,-222.213
-420.731,-554.115,-221.002
-406.894,-556.445,-221.318
-405.77,-554.908,-220.707
-404.646,-553.371,-220.096
-392.011,-556.938,-220.916
-390.917,-555.382,-220.298
-388.726,-552.271,-219.064
-376.177,-555.54,-219.777
-375.111,-553.966,-219.155
-362.594,-556.978,-219.775
-360.523,-553.795,-218.519
-359.487,-552.204,-217.89
-347.069,-554.925,-218.407
-346.063,-553.316,-217.773
-344.051,-550.099,-216.507
-332.715,-554.159,-217.56
-331.739,-552.534,-216.922
-319.448,-554.735,-217.251
-317.558,-551.452,-215.966
-316.613,-549.811,-215.323
-305.354,-553.389,-216.201
-305.354,-553.389,-216.201
-303.526,-550.076,-214.907
-291.416,-551.752,-215.05
-290.533,-550.08,-214.398
-289.65,-548.408,-213.746
-278.49,-551.515,-214.454
-277.638,-549.828,-213.798
-276.786,-548.142,-213.143
-264.849,-549.323,-213.109
-264.029,-547.622,-212.45
-252.958,-550.281,-212.995
-252.169,-548.567,-212.332
-251.382,-546.853,-211.668
-240.362,-549.291,-212.135
-193.161,-464.544,-179.008
-191.714,-461.064,-177.668
-180.996,-458.989,-176.481
-180.305,-457.237,-175.807
-179.614,-455.485,-175.134
-170.418,-456.704,-175.223
-169.76,-454.941,-174.545
-169.102,-453.177,-173.869
-159.987,-454.213,-173.893
-159.363,-452.439,-173.214
-159.363,-452.439,-173.214
-150.298,-453.304,-173.177
-149.706,-451.519,-172.495
-140.975,-453.114,-172.741
-140.975,-453.114,-172.741
-132.759,-456.364,-173.617
-127.66,-471.266,-178.916
-126.679,-467.641,-177.539
-117.478,-467.936,-177.287
-117.021,-466.115,-176.597
-117.021,-466.115,-176.597
-108.099,-467.158,-176.631
-108.099,-467.158,-176.631
-99.178,-468.052,-176.611
-98.983,-467.134,-176.264
-98.789,-466.216,-175.918
-89.906,-466.954,-175.841
-89.728,-466.033,-175.494
-89.728,-466.033,-175.494
-80.87,-466.619,-175.362
-80.55,-464.771,-174.668
-80.389,-463.847,-174.32
-71.879,-466.13,-174.829
-71.735,-465.204,-174.481
-71.735,-465.204,-174.481
-62.934,-465.489,-174.241
-62.808,-464.56,-173.893
-54.148,-465.629,-173.947
-54.039,-464.698,-173.599
-54.039,-464.698,-173.599
-45.288,-464.69,-173.253
-45.288,-464.69,-173.253
-45.198,-463.757,-172.905
-36.558,-464.537,-172.854
-36.558,-464.537,-172.854
-36.485,-463.602,-172.505
-27.852,-464.239,-172.401
-27.74,-462.367,-171.706
-27.74,-462.367,-171.706
-19.134,-462.861,-171.55
-19.134,-462.861,-171.55
-10.521,-463.214,-171.342
-10.521,-463.214,-171.342
-10.521,-463.214,-171.342
-1.902,-462.488,-170.735
-1.902,-462.488,-170.735
-1.899,-461.55,-170.389
6.682,-461.62,-170.078
6.696,-462.558,-170.424
6.682,-461.62,-170.078
15.262,-461.55,-169.715
15.262,-461.55,-169.715
15.262,-461.55,-169.715
23.836,-461.339,-169.3
23.836,-461.339,-169.3
23.836,-461.339,-169.3
32.402,-460.987,-168.834
32.402,-460.987,-168.834
32.402,-460.987,-168.834
40.96,-460.495,-168.316
40.876,-459.559,-167.974
49.505,-459.863,-167.747
49.505,-459.863,-167.747
49.505,-459.863,-167.747
58.034,-459.091,-167.127
58.153,-460.024,-167.467
58.153,-460.024,-167.467
66.682,-459.11,-166.795
66.682,-459.11,-166.795
66.682,-459.11,-166.795
75.343,-458.986,-166.408
75.343,-458.986,-166.408
75.343,-458.986,-166.408
84.016,-458.717,-165.969
84.016,-458.717,-165.969
84.016,-458.717,-165.969
92.697,-458.303,-165.474
92.697,-458.303,-165.474
101.385,-457.744,-164.927
101.385,-457.744,-164.927
101.385,-457.744,-164.927
110.076,-457.039,-164.325
110.076,-457.039,-164.325
110.297,-457.957,-164.655
119.006,-457.102,-163.997
119.006,-457.102,-163.997
119.006,-457.102,-163.997
127.712,-456.101,-163.286
127.967,-457.012,-163.612
127.967,-457.012,-163.612
136.685,-455.86,-162.844
136.957,-456.766,-163.168
137.228,-457.672,-163.491
145.683,-455.462,-162.345
145.972,-456.364,-162.666
146.26,-457.266,-162.988
155.009,-455.805,-162.104
155.009,-455.805,-162.104
163.744,-454.196,-161.168
164.065,-455.089,-161.484
164.387,-455.981,-161.801
173.138,-454.213,-160.805
173.138,-454.213,-160.805
173.138,-454.213,-160.805
182.223,-453.177,-160.065
182.223,-453.177,-160.065
182.932,-454.941,-160.688
192.06,-453.734,-159.884
192.06,-453.734,-159.884
192.06,-453.734,-159.884
201.193,-452.365,-159.02
201.968,-454.104,-159.632
201.968,-454.104,-159.632
211.136,-452.561,-158.702
211.136,-452.561,-158.702
211.943,-454.288,-159.308
220.305,-450.853,-157.711
221.143,-452.568,-158.311
221.98,-454.282,-158.911
230.339,-450.683,-157.254
231.208,-452.383,-157.847
232.077,-454.084,-158.441
241.329,-452.006,-157.311
241.329,-452.006,-157.311
242.23,-453.693,-157.898
251.501,-451.434,-156.7
251.501,-451.434,-156.7
260.758,-449.007,-155.442
261.72,-450.664,-156.014
262.681,-452.321,-156.588
270.988,-448.055,-154.687
271.981,-449.696,-155.255
272.973,-451.337,-155.821
282.28,-448.528,-154.419
283.303,-450.153,-154.978
284.326,-451.778,-155.537
292.613,-447.157,-153.506
293.666,-448.765,-154.059
294.718,-450.374,-154.611
304.059,-447.174,-153.063
305.14,-448.765,-153.608
306.222,-450.356,-154.153
315.587,-446.95,-152.528
316.697,-448.524,-153.065
317.809,-450.098,-153.602
327.193,-446.484,-151.9
328.332,-448.039,-152.429
329.472,-449.595,-152.958
338.87,-445.771,-151.178
341.208,-448.845,-152.221
342.377,-450.383,-152.742
351.813,-446.328,-150.875
353.009,-447.846,-151.388
362.421,-443.598,-149.451
363.646,-445.097,-149.956
364.87,-446.595,-150.46
374.282,-442.133,-148.444
376.785,-445.09,-149.437
378.038,-446.569,-149.933
387.47,-441.87,-147.829
388.75,-443.328,-148.317
391.307,-446.245,-149.292
400.756,-441.308,-147.1
403.367,-444.183,-148.058
404.672,-445.62,-148.537
415.462,-441.859,-146.725
416.793,-443.275,-147.195
418.125,-444.692,-147.665
428.944,-440.666,-145.755
431.658,-443.455,-146.677
433.016,-444.85,-147.139
443.883,-440.536,-145.12
445.265,-441.909,-145.572
448.031,-444.654,-146.476
457.53,-438.699,-143.906
460.346,-441.399,-144.792
463.161,-444.099,-145.678
474.102,-439.2,-143.439
476.966,-441.854,-144.307
478.398,-443.181,-144.74
489.364,-437.986,-142.392
492.277,-440.593,-143.24
501.756,-433.843,-140.376
504.716,-436.402,-141.205
507.677,-438.962,-142.033
518.646,-433.191,-139.473
523.156,-436.958,-140.685
526.162,-439.469,-141.494
537.179,-433.346,-138.801
540.231,-435.808,-139.59
543.283,-438.271,-140.379
555.864,-433.023,-137.948
558.961,-435.436,-138.716
562.057,-437.848,-139.485
574.689,-432.217,-136.911
577.829,-434.579,-137.66
580.97,-436.941,-138.407
593.641,-430.924,-135.689
596.824,-433.234,-136.417
601.598,-436.7,-137.508
612.707,-429.137,-134.281
617.545,-432.525,-135.341
622.382,-435.913,-136.401
633.508,-427.957,-133.028
638.406,-431.266,-134.057
643.304,-434.575,-135.085
656.091,-427.298,-131.898
661.049,-430.527,-132.895
667.659,-434.833,-134.223
678.827,-426.027,-130.535
685.515,-430.224,-131.821
690.531,-433.372,-132.786
703.391,-425.159,-129.25
710.154,-429.247,-130.493
715.226,-432.313,-131.425
729.821,-424.607,-128.008
734.948,-427.59,-128.906
741.786,-431.568,-130.106
756.428,-423.314,-126.485
763.336,-427.18,-127.64
770.243,-431.046,-128.796
784.934,-422.213,-124.959
791.911,-425.966,-126.07
798.888,-429.719,-127.181
813.61,-420.303,-123.128
822.415,-424.852,-124.46
837.102,-414.935,-120.223
845.988,-419.339,-121.499
854.875,-423.744,-122.775
871.384,-414.031,-118.543
880.349,-418.29,-119.762
889.313,-422.55,-120.982
907.671,-412.948,-116.718
916.712,-417.061,-117.88
925.752,-421.174,-119.043
944.158,-410.797,-114.491
955.094,-415.555,-115.816
966.03,-420.314,-117.143
986.325,-409.861,-112.489
997.345,-414.441,-113.745
1010.202,-419.783,-115.211
1030.563,-408.397,-110.21
1043.515,-413.529,-111.595
1056.467,-418.662,-112.98
1078.743,-407.008,-107.805
1091.784,-411.929,-109.108
1104.826,-416.85,-110.411
1127.149,-404.16,-104.851
1144.028,-410.212,-106.422
1160.908,-416.264,-107.991
1183.292,-402.41,-102.0
1198.389,-407.544,-103.301
1215.374,-413.32,-104.765
1243.467,-400.159,-98.805
1262.452,-406.268,-100.314
1279.537,-411.767,-101.671
1307.692,-397.212,-95.194
1332.511,-404.75,-97.001
1353.51,-411.129,-98.529
1379.816,-394.47,-91.348
1402.846,-401.053,-92.873
1431.632,-409.283,-94.778
1463.753,-392.581,-87.354
1488.824,-399.305,-88.85
1511.966,-405.512,-90.231
1547.976,-388.054,-82.374
1580.913,-396.311,-84.127
1608.036,-403.11,-85.57
1644.089,-383.602,-76.955
1681.056,-392.228,-78.686
1716.079,-400.399,-80.325
1758.013,-379.909,-71.117
1797.081,-388.352,-72.697
1834.194,-396.372,-74.198
1882.017,-374.541,-64.263
1925.147,-383.124,-65.736
1972.197,-392.488,-67.343
2021.997,-368.079,-56.379
2065.27,-375.956,-57.585
2116.41,-385.266,-59.012
2177.987,-359.74,-47.173
2233.226,-368.864,-48.369
2292.41,-378.639,-49.651
2361.855,-350.498,-36.538
2425.155,-359.892,-37.518
2496.366,-370.46,-38.619
2502.281,-329.582,-23.303
2980.308,-343.032,-9.484
3021.35,-297.753,8.836
4018.333,-329.713,36.215
4018.333,-329.713,36.215
4010.36,-329.059,36.143
4014.916,-263.367,60.563
4046.843,-265.462,61.044
4094.735,-268.603,61.766
4114.111,-202.31,86.99
4090.145,-201.131,86.484
4090.145,-201.131,86.484
4092.291,-134.122,111.295
4084.298,-133.86,111.077
4108.276,-134.645,111.729
4101.184,-67.202,136.338
4093.19,-67.071,136.073
4100.975,0.0,157.544
4100.975,0.0,157.544
4100.975,0.0,157.544
4111.097,-2.505,86.159
4087.101,-2.49,85.656
4095.972,-4.989,14.385
4111.971,-5.008,14.441
4111.971,-5.008,14.441
4103.595,-7.496,-57.17
4103.595,-7.496,-57.17
4103.595,-7.496,-57.17
4101.968,-9.991,-128.735
4109.964,-10.011,-128.987
4109.964,-10.011,-128.987
4107.083,-12.507,-200.652
4123.064,-12.556,-201.433
4115.073,-12.532,-201.043
4110.932,-15.03,-272.786
4102.95,-15.001,-272.256
4102.95,-15.001,-272.256
4081.623,-17.421,-342.441
4073.651,-17.387,-341.771
4067.059,-19.856,-412.772
4067.059,-19.856,-412.772
4090.936,-19.972,-415.195
4083.059,-22.449,-486.486
4023.481,-22.122,-479.387
3936.101,-21.641,-468.975
3459.678,-21.162,-473.55
3450.878,-23.254,-533.821
3442.972,-23.2,-532.598
3409.495,-25.106,-588.487
3331.9,-26.63,-635.133
2285.736,-21.173,-518.94
1957.794,-19.393,-480.545
1905.352,-18.874,-467.673
1840.818,-19.428,-486.03
1788.611,-18.877,-472.245
1733.904,-19.434,-490.31
1693.49,-18.981,-478.883
1651.154,-18.506,-466.91
1606.369,-19.066,-484.663
1571.907,-18.657,-474.265
1539.358,-18.27,-464.445
1500.544,-18.812,-481.447
1471.98,-18.454,-472.283
1437.001,-18.985,-488.868
1408.602,-18.61,-479.207
1383.989,-18.285,-470.834
1349.211,-18.748,-485.424
1328.512,-18.46,-477.976
1305.93,-18.146,-469.852
1275.09,-18.6,-484.042
1254.524,-18.3,-476.235
1225.589,-18.737,-489.878
1205.162,-18.425,-481.715
1184.736,-18.113,-473.55
1159.691,-18.554,-487.171
1143.098,-18.289,-480.2
1122.817,-17.964,-471.68
1097.939,-18.359,-483.934
1081.471,-18.083,-476.675
1054.826,-18.411,-487.083
1038.485,-18.126,-479.537
1023.961,-17.872,-472.83
1001.143,-18.219,-483.659
986.738,-17.957,-476.7
972.332,-17.695,-469.741
949.699,-18.002,-479.42
937.204,-17.766,-473.112
916.413,-18.078,-482.861
904.03,-17.834,-476.336
889.877,-17.554,-468.879
871.037,-17.867,-478.552
860.521,-17.651,-472.774
850.006,-17.435,-466.997
831.307,-17.717,-475.792
820.894,-17.495,-469.832
803.975,-17.791,-478.962
793.668,-17.563,-472.821
783.36,-17.335,-466.68
766.592,-17.603,-475.007
758.093,-17.408,-469.741
749.594,-17.213,-464.475
732.963,-17.455,-472.065
726.238,-17.295,-467.734
717.833,-17.095,-462.321
703.001,-17.354,-470.323
696.353,-17.19,-465.876
681.542,-17.433,-473.388
673.331,-17.222,-467.685
668.404,-17.096,-464.263
652.084,-17.275,-470.004
647.218,-17.146,-466.498
640.729,-16.974,-461.82
627.761,-17.219,-469.335
621.356,-17.043,-464.545
606.827,-17.229,-470.412
602.087,-17.094,-466.737
597.346,-16.959,-463.062
584.492,-17.172,-469.654
579.816,-17.035,-465.897
575.14,-16.897,-462.139
562.372,-17.094,-468.262
557.762,-16.954,-464.424
545.025,-17.137,-470.164
540.484,-16.994,-466.246
537.455,-16.899,-463.634
524.803,-17.067,-468.942
520.331,-16.922,-464.944
517.349,-16.825,-462.28
504.794,-16.978,-467.159
501.86,-16.88,-464.443
489.342,-17.021,-468.976
486.455,-16.92,-466.21
483.568,-16.82,-463.442
472.563,-16.999,-468.99
468.305,-16.846,-464.764
465.467,-16.744,-461.948
454.54,-16.91,-467.131
