x,y,z
-249.005,422.063,754.89
-249.005,422.063,754.89
-264.642,421.232,752.417
-265.228,422.166,754.086
-265.814,423.1,755.754
-281.503,422.125,753.014
-281.503,422.125,753.014
-282.123,423.054,754.673
-297.825,421.937,751.673
-297.825,421.937,751.673
-298.479,422.862,753.322
-314.188,421.602,750.062
-314.874,422.523,751.699
-314.874,422.523,751.699
-330.588,421.119,748.178
-331.306,422.035,749.805
-347.016,420.488,746.021
-347.767,421.398,747.635
-348.518,422.308,749.25
-364.251,420.61,745.19
-365.034,421.515,746.793
-365.818,422.419,748.395
-381.567,420.57,744.059
-382.383,421.469,745.648
-383.199,422.368,747.238
-399.807,421.259,744.198
-400.654,422.151,745.776
-402.347,423.936,748.929
-79.531,52.67,91.239
-79.531,52.67,91.239
-81.974,52.436,90.664
-81.974,52.436,90.664
-82.59,52.83,91.345
-83.206,53.224,92.027
-85.047,52.566,90.712
-85.678,52.955,91.385
-85.678,52.955,91.385
-88.15,52.66,90.695
-88.15,52.66,90.695
-88.793,53.044,91.357
-91.279,52.718,90.61
-91.279,52.718,90.61
-91.936,53.097,91.261
-93.763,52.365,89.813
-94.432,52.739,90.455
-94.432,52.739,90.455
-96.927,52.354,89.601
-97.61,52.723,90.231
-98.291,53.092,90.863
-98.974,53.461,91.493
-100.808,52.669,89.938
-101.503,53.033,90.558
-102.198,53.396,91.178
-104.732,52.935,90.183
-105.439,53.293,90.792
-105.439,53.293,90.792
-107.98,52.8,89.736
-108.7,53.152,90.335
-108.7,53.152,90.335
-109.419,53.504,90.933
-111.974,52.971,89.805
-112.706,53.317,90.392
-113.438,53.663,90.978
-116.006,53.091,89.777
-116.75,53.431,90.353
-117.493,53.772,90.929
-120.072,53.159,89.654
-120.827,53.494,90.217
-121.583,53.828,90.781
-121.583,53.828,90.781
-124.17,53.175,89.431
-124.937,53.503,89.984
-126.47,54.16,91.088
-129.076,53.46,89.651
-129.853,53.782,90.192
-130.631,54.104,90.731
-133.241,53.363,89.22
-134.818,53.995,90.276
-135.606,54.31,90.804
-139.029,53.83,89.719
-139.827,54.14,90.234
-140.626,54.449,90.75
-143.259,53.611,89.06
-144.068,53.914,89.563
-148.327,53.633,88.789
-150.786,54.522,90.261
-153.43,53.585,88.39
-3327.355,1162.078,1916.88
-3355.848,1131.592,1859.512
-3345.781,1128.197,1853.934
-3302.154,1113.486,1829.76
-3301.653,1074.423,1758.513
-3418.521,86.146,-51.899
-3078.135,51.735,-93.869
-185.897,-27.862,-62.209
-185.897,-27.862,-62.209
-183.751,-29.299,-64.7
-182.818,-29.151,-64.372
-180.635,-30.555,-66.801
-3549.801,-635.404,-1376.509
-176.57,-31.606,-68.469
-3527.73,-631.454,-1367.95
-173.812,-31.112,-67.399
-3494.623,-625.528,-1355.112
-171.58,-32.426,-69.662
-3424.308,-647.147,-1390.26
-170.668,-32.254,-69.29
-3420.656,-646.457,-1388.777
-169.755,-32.081,-68.92
-3431.608,-648.527,-1393.224
-168.406,-33.535,-71.49
-3415.2,-680.077,-1449.789
-169.311,-33.715,-71.874
-3429.686,-682.962,-1455.939
-169.311,-33.715,-71.874
-3436.93,-684.404,-1459.013
-3415.531,-715.368,-1514.202
-3422.715,-716.873,-1517.387
-3429.898,-718.377,-1520.571
-3407.211,-749.37,-1575.735
-3410.771,-750.153,-1577.383
-3393.943,-782.698,-1635.737
-3411.584,-786.767,-1644.239
-3422.167,-789.207,-1649.34
-3396.787,-820.313,-1704.543
-3407.271,-822.844,-1709.805
-3424.744,-827.064,-1718.573
-3401.378,-859.155,-1775.698
-3425.6,-865.273,-1788.343
-3432.52,-867.021,-1791.956
-3411.013,-900.202,-1851.183
-3428.137,-904.721,-1860.477
-3424.712,-903.817,-1858.618
-3401.733,-937.079,-1917.904
-3411.897,-939.879,-1923.635
-3380.771,-971.253,-1978.978
-3397.524,-976.066,-1988.784
-3404.225,-977.991,-1992.707
-3378.271,-1011.371,-2052.028
-4980.647,-1552.728,-3137.823
-4928.288,-1536.405,-3104.837
-4834.84,-1568.597,-3157.86
-4783.131,-1551.821,-3124.086
-4731.421,-1535.045,-3090.312
-4613.129,-1556.686,-3122.566
-4574.847,-1543.768,-3096.653
-4542.944,-1533.002,-3075.058
-4450.879,-1561.392,-3121.228
-4419.402,-1550.349,-3099.155
-4387.925,-1539.307,-3077.081
-4283.819,-1561.597,-3111.384
-4240.36,-1545.755,-3079.82
-4196.901,-1529.912,-3048.255
-4100.084,-1552.526,-3083.597
-4063.368,-1538.623,-3055.982
-3960.897,-1557.43,-3084.03
-3942.81,-1550.318,-3069.948
-3930.753,-1545.577,-3060.56
-3846.631,-1570.175,-3100.297
-3822.886,-1560.482,-3081.159
-3799.141,-1550.79,-3062.021
-3715.351,-1574.076,-3099.387
-3668.617,-1554.276,-3060.4
-3639.409,-1541.902,-3036.034
-3539.262,-1556.054,-3055.732
-3504.789,-1540.898,-3025.969
-3433.749,-1566.447,-3068.241
-3416.807,-1558.717,-3053.102
-3399.863,-1550.988,-3037.963
-3334.32,-1578.189,-3083.585
-3306.579,-1565.059,-3057.931
-3278.84,-1551.929,-3032.278
-3197.155,-1570.039,-3060.326
-3186.261,-1564.69,-3049.899
-3164.475,-1553.991,-3029.045
-3072.564,-1565.503,-3044.429
-3051.19,-1554.613,-3023.251
-3035.159,-1546.445,-3007.366
-2960.008,-1564.889,-3036.425
-2939.052,-1553.811,-3014.928
-2918.096,-1542.732,-2993.431
-2848.658,-1562.865,-3025.921
-2833.26,-1554.417,-3009.565
-2758.681,-1570.894,-3035.067
-2743.605,-1562.31,-3018.482
-2733.556,-1556.587,-3007.426
-2664.25,-1574.999,-3036.782
-2649.504,-1566.281,-3019.973
