x,y,z
-336.032,-926.213,-634.663
-315.847,-929.425,-636.64
-315.306,-927.836,-635.552
-295.125,-930.742,-637.32
-295.125,-930.742,-637.32
-294.113,-927.549,-635.134
-273.977,-930.141,-636.69
-273.977,-930.141,-636.69
-273.977,-930.141,-636.69
-253.825,-932.436,-638.043
-252.95,-929.216,-635.839
-252.511,-927.605,-634.737
-233.261,-932.818,-638.088
-232.856,-931.201,-636.981
-232.452,-929.585,-635.876
-212.392,-931.269,-636.813
-212.022,-929.647,-635.704
-192.0,-931.031,-636.437
-191.664,-929.404,-635.325
-191.664,-929.404,-635.325
-171.987,-932.122,-636.972
-171.686,-930.49,-635.856
-171.686,-930.49,-635.856
-151.725,-931.283,-636.188
-151.725,-931.283,-636.188
-151.459,-929.647,-635.07
-131.788,-931.785,-636.321
-132.019,-933.426,-637.441
-131.788,-931.785,-636.321
-112.076,-933.64,-637.379
-111.878,-931.996,-636.256
-92.168,-933.564,-637.118
-92.168,-933.564,-637.118
-92.005,-931.917,-635.994
-72.301,-933.198,-636.661
-72.301,-933.198,-636.661
-72.174,-931.55,-635.537
-52.483,-932.545,-636.008
-52.483,-932.545,-636.008
-52.39,-930.894,-634.882
-32.718,-931.604,-635.159
-32.718,-931.604,-635.159
-32.718,-931.604,-635.159
-13.035,-932.03,-635.244
-13.058,-933.682,-636.371
6.663,-933.824,-636.261
6.651,-932.172,-635.134
6.651,-932.172,-635.134
26.335,-932.03,-634.832
26.335,-932.03,-634.832
26.335,-932.03,-634.832
46.012,-931.604,-634.335
46.093,-933.256,-635.46
46.175,-934.907,-636.584
65.791,-932.545,-634.77
65.791,-932.545,-634.77
65.907,-934.195,-635.893
85.618,-933.198,-635.007
85.618,-933.198,-635.007
85.77,-934.847,-636.129
105.491,-933.564,-635.048
105.677,-935.21,-636.168
125.399,-933.64,-634.892
125.399,-933.64,-634.892
125.62,-935.284,-636.009
145.085,-931.785,-633.421
145.34,-933.426,-634.537
145.595,-935.066,-635.652
165.305,-932.92,-633.983
165.305,-932.92,-633.983
165.596,-934.557,-635.096
185.614,-933.755,-634.339
185.614,-933.755,-634.339
185.938,-935.387,-635.448
205.645,-932.659,-633.382
206.004,-934.287,-634.489
225.682,-931.269,-632.225
226.074,-932.892,-633.327
226.468,-934.514,-634.428
247.0,-934.435,-634.159
247.428,-936.051,-635.257
247.428,-936.051,-635.257
267.593,-934.047,-633.68
267.593,-934.047,-633.68
268.055,-935.657,-634.773
288.241,-933.349,-632.987
288.737,-934.952,-634.075
288.737,-934.952,-634.075
308.937,-932.338,-632.083
309.465,-933.934,-633.165
309.995,-935.531,-634.247
330.798,-934.191,-633.116
331.36,-935.78,-634.193
352.229,-934.115,-632.84
352.229,-934.115,-632.84
352.826,-935.696,-633.911
373.125,-932.133,-631.27
373.125,-932.133,-631.27
374.383,-935.277,-633.399
395.364,-932.956,-631.598
396.027,-934.519,-632.657
396.689,-936.081,-633.715
417.746,-933.42,-631.68
418.441,-934.973,-632.731
419.136,-936.526,-633.782
440.262,-933.521,-631.513
440.99,-935.064,-632.557
442.445,-938.15,-634.645
462.905,-933.254,-631.094
463.665,-934.787,-632.13
485.664,-932.617,-630.422
487.249,-935.66,-632.478
488.042,-937.181,-633.507
508.533,-931.606,-629.493
510.181,-934.625,-631.533
511.83,-937.645,-633.574
533.212,-933.212,-630.33
534.924,-936.208,-632.353
536.635,-939.204,-634.376
558.108,-934.389,-630.87
