timestamp,angle,distance,R_x,R_y,R_z
1740256087908,0,3672,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087908,0,3676,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087908,0,3700,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087908,1,3680,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087908,1,3640,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087908,2,3612,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087908,2,3596,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087908,2,3600,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087908,3,3624,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087908,3,3656,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087908,3,3668,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087908,4,3676,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087908,4,3748,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087908,4,3776,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087909,5,3768,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
131.40,-1.70,2.62
129.34,-0.06,2.62

1740256087909,5,3784,8134.27,-0.60,2.62
132.11,-1.08,2.62
130.31,-0.07,2.62
